name,adres,website,telefoon,reviews_count,reviews_average,latitude,longitude
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0570947,4.2288213
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0570947,4.2288213
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0570947,4.2288213
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0570947,4.2288213
Sinar Djaya Toko,"Maartensdijklaan 42, 2541 XR Den Haag",,070 211 0859,126,4.4,52.0570947,4.2288213
Ruud's Visboetiek,"Soestdijkseplein 8, 2574 GX Den Haag",,070 365 1052,631,4.4,52.0570947,4.2288213
Laventa Restaurant pizzeria,"Kempstraat 141, 2572 GD Den Haag",,070 211 1141,17,5.0,52.0570947,4.2288213
Eethuis Leyenburger,"Escamplaan 283, 2547 EA Den Haag",,070 205 0003,33,4.5,52.0565408,4.2494689
New SIDE RESTAURANT,"Leyweg 595E, 2545 GH Den Haag",,06 48404553,75,4.2,52.0565408,4.2494689
Restaurant Borj Den Haag 2 -2 مطعم البرج دنهاخ,"Leyweg 890, 2545 GT Den Haag",,070 743 3087,270,3.9,52.0565408,4.2494689
Lunchroom De luxe,"Volendamlaan 690, 2547 CK Den Haag",,070 323 1107,142,4.6,52.0565408,4.2494689
